PPN01478	GPAL|GPLIN_001293100	GROS|GROS_g04709.t1
PPN11703	GPAL|GPLIN_000345200	GROS|GROS_g08480.t1
PPN11702	GPAL|GPLIN_000344000	GROS|GROS_g07498.t1
PPN11701	GPAL|GPLIN_000343100	GROS|GROS_g13140.t1
PPN11700	GPAL|GPLIN_000342900	GROS|GROS_g13139.t1
PPN11709	GPAL|GPLIN_000346400	GROS|GROS_g05357.t1
PPN11708	GPAL|GPLIN_000346200	GROS|GROS_g05358.t1
PPN06444	GPAL|GPLIN_000004600	GROS|GROS_g03065.t1
PPN06031	GPAL|GPLIN_000639400	GROS|GROS_g04904.t1
PPN06030	GPAL|GPLIN_001303300	GROS|GROS_g12460.t1
PPN06033	GPAL|GPLIN_000356900	GROS|GROS_g11144.t1
PPN06032	GPAL|GPLIN_000465800	GROS|GROS_g13307.t1
PPN06034	GPAL|GPLIN_000506900	GROS|GROS_g04999.t1
PPN06037	GPAL|GPLIN_000032700	GROS|GROS_g12285.t1
PPN06036	GPAL|GPLIN_001222500	GROS|GROS_g07902.t1
PPN03002	GPAL|GPLIN_000190200	GROS|GROS_g00327.t1
PPN03001	GPAL|GPLIN_001144300	GROS|GROS_g01610.t1
PPN03000	GPAL|GPLIN_001257400	GROS|GROS_g00437.t1
PPN03009	GPAL|GPLIN_001071700	GROS|GROS_g03887.t1
PPN06446	GPAL|GPLIN_000953900	GROS|GROS_g02953.t1
PPN05959	GPAL|GPLIN_001384600	GROS|GROS_g09076.t1
PPN05957	GPAL|GPLIN_000673900	GROS|GROS_g01906.t1
PPN05955	GPAL|GPLIN_001450900	GROS|GROS_g05099.t1
PPN05954	GPAL|GPLIN_001023500	GROS|GROS_g05161.t1
PPN05952	GPAL|GPLIN_000370400	GROS|GROS_g01113.t1
PPN05951	GPAL|GPLIN_001022200	GROS|GROS_g05147.t1
PPN05950	GPAL|GPLIN_001022300	GROS|GROS_g05148.t1
PPN11740	GPAL|GPLIN_000365200	GROS|GROS_g07032.t1
PPN06447	GPAL|GPLIN_000007100	GROS|GROS_g06538.t1
PPN12839	GPAL|GPLIN_001305400	GROS|GROS_g13667.t1
PPN11815	GPAL|GPLIN_000422900	GROS|GROS_g01540.t1
PPN12555	GPAL|GPLIN_001039000	GROS|GROS_g12790.t1
PPN02358	GPAL|GPLIN_000668900	GROS|GROS_g06638.t1
PPN02359	GPAL|GPLIN_001226000	GROS|GROS_g01309.t1
PPN02608	GPAL|GPLIN_001277800	GROS|GROS_g11048.t1
PPN02609	GPAL|GPLIN_001137500	GROS|GROS_g04818.t1
PPN02603	GPAL|GPLIN_000767200	GROS|GROS_g10363.t1
PPN02600	GPAL|GPLIN_001019000	GROS|GROS_g00875.t1
PPN02353	GPAL|GPLIN_001114100	GROS|GROS_g04547.t1
PPN02354	GPAL|GPLIN_000347200	GROS|GROS_g05104.t1
PPN02607	GPAL|GPLIN_001428200	GROS|GROS_g00704.t1
PPN02604	GPAL|GPLIN_001035500	GROS|GROS_g03252.t1
PPN02605	GPAL|GPLIN_001035400	GROS|GROS_g03257.t1
PPN05370	GPAL|GPLIN_000500100	GROS|GROS_g01768.t1
PPN08594	GPAL|GPLIN_001125300	GROS|GROS_g12246.t1
PPN12134	GPAL|GPLIN_000689700	GROS|GROS_g03516.t1
PPN08292	GPAL|GPLIN_001358000	GROS|GROS_g07275.t1
PPN08291	GPAL|GPLIN_000601500	GROS|GROS_g03825.t1
PPN08297	GPAL|GPLIN_000229900	GROS|GROS_g06030.t1
PPN08295	GPAL|GPLIN_001032600	GROS|GROS_g09858.t1
PPN08294	GPAL|GPLIN_000268500	GROS|GROS_g00969.t1
PPN08299	GPAL|GPLIN_001155900	GROS|GROS_g13519.t1
PPN04132	GPAL|GPLIN_000490100	GROS|GROS_g00245.t1
PPN04133	GPAL|GPLIN_000348000	GROS|GROS_g00083.t1
PPN04130	GPAL|GPLIN_000423000	GROS|GROS_g01535.t1
PPN04131	GPAL|GPLIN_000490000	GROS|GROS_g00244.t1
PPN04137	GPAL|GPLIN_000013700	GROS|GROS_g02525.t1
PPN04134	GPAL|GPLIN_000333800	GROS|GROS_g07188.t1
PPN04135	GPAL|GPLIN_001398900	GROS|GROS_g05116.t1
PPN04138	GPAL|GPLIN_001182300	GROS|GROS_g10787.t1
PPN12139	GPAL|GPLIN_000694500	GROS|GROS_g02009.t1
PPN04472	GPAL|GPLIN_000308100	GROS|GROS_g06296.t1
PPN12131	GPAL|GPLIN_000684800	GROS|GROS_g08149.t1
PPN12130	GPAL|GPLIN_000684400	GROS|GROS_g08646.t1
PPN12133	GPAL|GPLIN_000687800	GROS|GROS_g06831.t1
PPN12132	GPAL|GPLIN_000684900	GROS|GROS_g11324.t1
PPN12135	GPAL|GPLIN_000690700	GROS|GROS_g11973.t1
PPN12137	GPAL|GPLIN_000693200	GROS|GROS_g02025.t1
PPN12136	GPAL|GPLIN_000691800	GROS|GROS_g14298.t1
PPN12427	GPAL|GPLIN_000936800	GROS|GROS_g11078.t1
PPN12426	GPAL|GPLIN_000936300	GROS|GROS_g11068.t1
PPN12425	GPAL|GPLIN_000933200	GROS|GROS_g05961.t1
PPN12423	GPAL|GPLIN_000931100	GROS|GROS_g14172.t1
PPN12422	GPAL|GPLIN_000930800	GROS|GROS_g09962.t1
PPN12421	GPAL|GPLIN_000930600	GROS|GROS_g09964.t1
PPN12420	GPAL|GPLIN_000930500	GROS|GROS_g14212.t1
PPN12429	GPAL|GPLIN_000938500	GROS|GROS_g00642.t1
PPN04471	GPAL|GPLIN_000164600	GROS|GROS_g08828.t1
PPN11682	GPAL|GPLIN_000325500	GROS|GROS_g08390.t1
PPN04470	GPAL|GPLIN_000169300	GROS|GROS_g06686.t1
PPN04778	GPAL|GPLIN_000480200	GROS|GROS_g08805.t1
PPN04774	GPAL|GPLIN_001404100	GROS|GROS_g12059.t1
PPN04775	GPAL|GPLIN_000217100	GROS|GROS_g05009.t1
PPN04776	GPAL|GPLIN_000722100	GROS|GROS_g02604.t1
PPN04777	GPAL|GPLIN_000417600	GROS|GROS_g10966.t1
PPN04771	GPAL|GPLIN_000719700	GROS|GROS_g02626.t1
PPN04772	GPAL|GPLIN_000938100	GROS|GROS_g00646.t1
PPN04773	GPAL|GPLIN_001368100	GROS|GROS_g00536.t1
PPN04477	GPAL|GPLIN_001323700	GROS|GROS_g06369.t1
PPN06254	GPAL|GPLIN_000287200	GROS|GROS_g08412.t1
PPN08902	GPAL|GPLIN_000852300	GROS|GROS_g11626.t1
PPN06732	GPAL|GPLIN_000401300	GROS|GROS_g04483.t1
PPN06733	GPAL|GPLIN_000585200	GROS|GROS_g04988.t1
PPN06731	GPAL|GPLIN_001179800	GROS|GROS_g08608.t1
PPN06736	GPAL|GPLIN_000497800	GROS|GROS_g11920.t1
PPN06737	GPAL|GPLIN_000456300	GROS|GROS_g02444.t1
PPN06734	GPAL|GPLIN_000217900	GROS|GROS_g03763.t1
PPN08839	GPAL|GPLIN_000428700	GROS|GROS_g02779.t1
PPN04476	GPAL|GPLIN_000941800	GROS|GROS_g08248.t1
PPN04590	GPAL|GPLIN_001254200	GROS|GROS_g02867.t1
PPN04591	GPAL|GPLIN_000600300	GROS|GROS_g03843.t1
PPN04592	GPAL|GPLIN_000952800	GROS|GROS_g12799.t1
PPN04593	GPAL|GPLIN_000256100	GROS|GROS_g04396.t1
PPN04594	GPAL|GPLIN_000474800	GROS|GROS_g12926.t1
PPN04595	GPAL|GPLIN_000847000	GROS|GROS_g09443.t1
PPN04596	GPAL|GPLIN_000448900	GROS|GROS_g08983.t1
PPN04597	GPAL|GPLIN_000244000	GROS|GROS_g04384.t1
PPN04598	GPAL|GPLIN_000013900	GROS|GROS_g02523.t1
PPN04599	GPAL|GPLIN_000478200	GROS|GROS_g12489.t1
PPN08838	GPAL|GPLIN_001446700	GROS|GROS_g01771.t1
PPN08355	GPAL|GPLIN_000963500	GROS|GROS_g08661.t1
PPN08900	GPAL|GPLIN_000429000	GROS|GROS_g02801.t1
PPN04474	GPAL|GPLIN_000540700	GROS|GROS_g11833.t1
PPN11952	GPAL|GPLIN_000547000	GROS|GROS_g01276.t1
PPN11953	GPAL|GPLIN_000547600	GROS|GROS_g06179.t1
PPN11950	GPAL|GPLIN_000546400	GROS|GROS_g09239.t1
PPN11956	GPAL|GPLIN_000548900	GROS|GROS_g06194.t1
PPN11957	GPAL|GPLIN_000549000	GROS|GROS_g06195.t1
PPN11954	GPAL|GPLIN_000548000	GROS|GROS_g06182.t1
PPN11955	GPAL|GPLIN_000548800	GROS|GROS_g06192.t1
PPN11958	GPAL|GPLIN_000550900	GROS|GROS_g04698.t1
PPN00299	GPAL|GPLIN_000459200	GROS|GROS_g05517.t1
PPN06198	GPAL|GPLIN_000510400	GROS|GROS_g11211.t1
PPN06199	GPAL|GPLIN_001242300	GROS|GROS_g04779.t1
PPN06196	GPAL|GPLIN_001171600	GROS|GROS_g11990.t1
PPN06194	GPAL|GPLIN_000654600	GROS|GROS_g01201.t1
PPN06195	GPAL|GPLIN_000873200	GROS|GROS_g09010.t1
PPN06192	GPAL|GPLIN_000588100	GROS|GROS_g06110.t1
PPN06193	GPAL|GPLIN_001242400	GROS|GROS_g04778.t1
PPN08835	GPAL|GPLIN_000797900	GROS|GROS_g04210.t1
PPN02035	GPAL|GPLIN_001235100	GROS|GROS_g00553.t1
PPN02034	GPAL|GPLIN_001202100	GROS|GROS_g00557.t1
PPN02037	GPAL|GPLIN_001235400	GROS|GROS_g00549.t1
PPN02036	GPAL|GPLIN_001235200	GROS|GROS_g00552.t1
PPN02031	GPAL|GPLIN_000923700	GROS|GROS_g06455.t1
PPN02030	GPAL|GPLIN_001083300	GROS|GROS_g10454.t1
PPN02039	GPAL|GPLIN_001154900	GROS|GROS_g00528.t1
PPN02038	GPAL|GPLIN_001235500	GROS|GROS_g00548.t1
PPN07021	GPAL|GPLIN_000790100	GROS|GROS_g04185.t1
PPN07020	GPAL|GPLIN_000786300	GROS|GROS_g11738.t1
PPN07022	GPAL|GPLIN_000790600	GROS|GROS_g04179.t1
PPN04857	GPAL|GPLIN_000198100	GROS|GROS_g03740.t1
PPN07027	GPAL|GPLIN_000819100	GROS|GROS_g00522.t1
PPN07026	GPAL|GPLIN_000815600	GROS|GROS_g02687.t1
PPN07029	GPAL|GPLIN_000831700	GROS|GROS_g11768.t1
PPN07028	GPAL|GPLIN_000831200	GROS|GROS_g11848.t1
PPN06998	GPAL|GPLIN_000607300	GROS|GROS_g13231.t1
PPN06999	GPAL|GPLIN_000613800	GROS|GROS_g01435.t1
PPN02299	GPAL|GPLIN_001119900	GROS|GROS_g01153.t1
PPN02298	GPAL|GPLIN_001119800	GROS|GROS_g01152.t1
PPN02291	GPAL|GPLIN_000702300	GROS|GROS_g06237.t1
PPN02290	GPAL|GPLIN_000339700	GROS|GROS_g07762.t1
PPN02293	GPAL|GPLIN_001109400	GROS|GROS_g03350.t1
PPN02292	GPAL|GPLIN_000586300	GROS|GROS_g13673.t1
PPN02294	GPAL|GPLIN_000596400	GROS|GROS_g01349.t1
PPN02297	GPAL|GPLIN_000671200	GROS|GROS_g02084.t1
PPN02296	GPAL|GPLIN_000397500	GROS|GROS_g03046.t1
PPN09172	GPAL|GPLIN_001272200	GROS|GROS_g03599.t1
PPN08832	GPAL|GPLIN_000223500	GROS|GROS_g02174.t1
PPN04851	GPAL|GPLIN_001193500	GROS|GROS_g03295.t1
PPN11680	GPAL|GPLIN_000323400	GROS|GROS_g05707.t1
PPN11046	GPAL|GPLIN_000839700	GROS|GROS_g02823.t1
PPN03818	GPAL|GPLIN_001367800	GROS|GROS_g00539.t1
PPN03819	GPAL|GPLIN_000097100	GROS|GROS_g13113.t1
PPN03815	GPAL|GPLIN_001431000	GROS|GROS_g03174.t1
PPN03816	GPAL|GPLIN_000078700	GROS|GROS_g03563.t1
PPN03817	GPAL|GPLIN_000649000	GROS|GROS_g05570.t1
PPN03810	GPAL|GPLIN_000996400	GROS|GROS_g07683.t1
PPN03811	GPAL|GPLIN_000078800	GROS|GROS_g03564.t1
PPN03812	GPAL|GPLIN_000246400	GROS|GROS_g03585.t1
PPN03813	GPAL|GPLIN_000267400	GROS|GROS_g00956.t1
PPN01678	GPAL|GPLIN_000251400	GROS|GROS_g03142.t1
PPN01673	GPAL|GPLIN_000379400	GROS|GROS_g00612.t1
PPN01675	GPAL|GPLIN_001093100	GROS|GROS_g00812.t1
PPN05749	GPAL|GPLIN_000198300	GROS|GROS_g03736.t1
PPN08599	GPAL|GPLIN_000669800	GROS|GROS_g11005.t1
PPN05743	GPAL|GPLIN_000140500	GROS|GROS_g05895.t1
PPN05740	GPAL|GPLIN_000966700	GROS|GROS_g08051.t1
PPN05747	GPAL|GPLIN_001046700	GROS|GROS_g04732.t1
PPN01430	GPAL|GPLIN_000763400	GROS|GROS_g01015.t1
PPN01715	GPAL|GPLIN_000079600	GROS|GROS_g03572.t1
PPN01717	GPAL|GPLIN_000149000	GROS|GROS_g02163.t1
PPN01716	GPAL|GPLIN_000718100	GROS|GROS_g10424.t1
PPN01713	GPAL|GPLIN_000016900	GROS|GROS_g08386.t1
PPN01719	GPAL|GPLIN_001106200	GROS|GROS_g00469.t1
PPN01431	GPAL|GPLIN_000687700	GROS|GROS_g12096.t1
PPN12516	GPAL|GPLIN_001002800	GROS|GROS_g10510.t1
PPN12515	GPAL|GPLIN_001002600	GROS|GROS_g10509.t1
PPN12514	GPAL|GPLIN_001001600	GROS|GROS_g01123.t1
PPN12513	GPAL|GPLIN_001000700	GROS|GROS_g08673.t1
PPN01432	GPAL|GPLIN_000139100	GROS|GROS_g07797.t1
PPN12512	GPAL|GPLIN_000998300	GROS|GROS_g07111.t1
PPN12511	GPAL|GPLIN_000997900	GROS|GROS_g12399.t1
PPN12098	GPAL|GPLIN_000661200	GROS|GROS_g01659.t1
PPN12099	GPAL|GPLIN_000662300	GROS|GROS_g07648.t1
PPN12096	GPAL|GPLIN_000660600	GROS|GROS_g01649.t1
PPN12097	GPAL|GPLIN_000661100	GROS|GROS_g01658.t1
PPN04739	GPAL|GPLIN_000497900	GROS|GROS_g05472.t1
PPN12092	GPAL|GPLIN_000657200	GROS|GROS_g14180.t1
PPN12093	GPAL|GPLIN_000657900	GROS|GROS_g01752.t1
PPN12090	GPAL|GPLIN_000653100	GROS|GROS_g01184.t1
PPN08339	GPAL|GPLIN_000019200	GROS|GROS_g12653.t1
PPN01433	GPAL|GPLIN_000882600	GROS|GROS_g03420.t1
PPN08332	GPAL|GPLIN_000815700	GROS|GROS_g02686.t1
PPN08335	GPAL|GPLIN_000599500	GROS|GROS_g04357.t1
PPN08336	GPAL|GPLIN_000677000	GROS|GROS_g07371.t1
PPN12519	GPAL|GPLIN_001003500	GROS|GROS_g13167.t1
PPN01434	GPAL|GPLIN_000468600	GROS|GROS_g03422.t1
PPN12518	GPAL|GPLIN_001003200	GROS|GROS_g06008.t1
PPN12894	GPAL|GPLIN_001372300	GROS|GROS_g01383.t1
PPN12895	GPAL|GPLIN_001372600	GROS|GROS_g10744.t1
PPN12893	GPAL|GPLIN_001371200	GROS|GROS_g00169.t1
PPN12890	GPAL|GPLIN_001370200	GROS|GROS_g11317.t1
PPN12891	GPAL|GPLIN_001370300	GROS|GROS_g11323.t1
PPN12899	GPAL|GPLIN_001375700	GROS|GROS_g06814.t1
PPN12990	GPAL|GPLIN_001522100	GROS|GROS_g01846.t1
PPN01435	GPAL|GPLIN_000852400	GROS|GROS_g11627.t1
PPN12994	GPAL|GPLIN_001526400	GROS|GROS_g01815.t1
PPN12999	GPAL|GPLIN_001539500	GROS|GROS_g10792.t1
PPN04907	GPAL|GPLIN_000190100	GROS|GROS_g00328.t1
PPN04905	GPAL|GPLIN_000692900	GROS|GROS_g02028.t1
PPN04904	GPAL|GPLIN_001282800	GROS|GROS_g06816.t1
PPN04903	GPAL|GPLIN_000621400	GROS|GROS_g01884.t1
PPN04902	GPAL|GPLIN_000664800	GROS|GROS_g05819.t1
PPN04901	GPAL|GPLIN_000770300	GROS|GROS_g07656.t1
PPN04900	GPAL|GPLIN_000257200	GROS|GROS_g04408.t1
PPN04909	GPAL|GPLIN_000041800	GROS|GROS_g02202.t1
PPN01437	GPAL|GPLIN_000110100	GROS|GROS_g11361.t1
PPN03249	GPAL|GPLIN_000189200	GROS|GROS_g00339.t1
PPN06526	GPAL|GPLIN_000804900	GROS|GROS_g12469.t1
PPN03245	GPAL|GPLIN_001262700	GROS|GROS_g05874.t1
PPN03247	GPAL|GPLIN_000310000	GROS|GROS_g01550.t1
PPN08406	GPAL|GPLIN_001084900	GROS|GROS_g06740.t1
PPN06524	GPAL|GPLIN_000614000	GROS|GROS_g01444.t1
PPN06523	GPAL|GPLIN_000864900	GROS|GROS_g00847.t1
PPN07115	GPAL|GPLIN_001465800	GROS|GROS_g06069.t1
PPN06521	GPAL|GPLIN_001278200	GROS|GROS_g09035.t1
PPN07114	GPAL|GPLIN_001436200	GROS|GROS_g01852.t1
PPN07117	GPAL|GPLIN_001531800	GROS|GROS_g12694.t1
PPN07111	GPAL|GPLIN_001398500	GROS|GROS_g10838.t1
PPN07110	GPAL|GPLIN_001396600	GROS|GROS_g07862.t1
PPN12492	GPAL|GPLIN_000977000	GROS|GROS_g04789.t1
PPN06059	GPAL|GPLIN_000701400	GROS|GROS_g06224.t1
PPN06058	GPAL|GPLIN_000461500	GROS|GROS_g11919.t1
PPN03027	GPAL|GPLIN_001051200	GROS|GROS_g04726.t1
PPN03021	GPAL|GPLIN_000605100	GROS|GROS_g05733.t1
PPN03022	GPAL|GPLIN_000953200	GROS|GROS_g02961.t1
PPN11549	GPAL|GPLIN_000204100	GROS|GROS_g00456.t1
PPN04312	GPAL|GPLIN_000843800	GROS|GROS_g01981.t1
PPN06012	GPAL|GPLIN_000551500	GROS|GROS_g07941.t1
PPN04313	GPAL|GPLIN_000654100	GROS|GROS_g01196.t1
PPN11541	GPAL|GPLIN_000196900	GROS|GROS_g09259.t1
PPN11540	GPAL|GPLIN_000196200	GROS|GROS_g09265.t1
PPN11543	GPAL|GPLIN_000197300	GROS|GROS_g09256.t1
PPN06528	GPAL|GPLIN_000247200	GROS|GROS_g03179.t1
PPN11545	GPAL|GPLIN_000197700	GROS|GROS_g13298.t1
PPN04646	GPAL|GPLIN_000649500	GROS|GROS_g08861.t1
PPN11547	GPAL|GPLIN_000201100	GROS|GROS_g08840.t1
PPN11546	GPAL|GPLIN_000200600	GROS|GROS_g12119.t1
PPN04311	GPAL|GPLIN_000843500	GROS|GROS_g01984.t1
PPN01083	GPAL|GPLIN_000980200	GROS|GROS_g04439.t1
PPN04316	GPAL|GPLIN_000661600	GROS|GROS_g01666.t1
PPN12495	GPAL|GPLIN_000978600	GROS|GROS_g02580.t1
PPN04317	GPAL|GPLIN_000060200	GROS|GROS_g02048.t1
PPN05975	GPAL|GPLIN_000009800	GROS|GROS_g04460.t1
PPN05977	GPAL|GPLIN_001326100	GROS|GROS_g03774.t1
PPN05976	GPAL|GPLIN_000009900	GROS|GROS_g04461.t1
PPN05971	GPAL|GPLIN_000269900	GROS|GROS_g00993.t1
PPN04314	GPAL|GPLIN_000781500	GROS|GROS_g00004.t1
PPN05973	GPAL|GPLIN_001316200	GROS|GROS_g05064.t1
PPN05972	GPAL|GPLIN_001433200	GROS|GROS_g08728.t1
PPN04315	GPAL|GPLIN_000868800	GROS|GROS_g05292.t1
PPN05979	GPAL|GPLIN_000164500	GROS|GROS_g08830.t1
PPN05978	GPAL|GPLIN_000843600	GROS|GROS_g01983.t1
PPN02198	GPAL|GPLIN_001095600	GROS|GROS_g03596.t1
PPN02199	GPAL|GPLIN_001129900	GROS|GROS_g04347.t1
PPN11729	GPAL|GPLIN_000356700	GROS|GROS_g06331.t1
PPN11728	GPAL|GPLIN_000356600	GROS|GROS_g08353.t1
PPN02190	GPAL|GPLIN_000693300	GROS|GROS_g02024.t1
PPN02191	GPAL|GPLIN_000561400	GROS|GROS_g03933.t1
PPN02196	GPAL|GPLIN_001317200	GROS|GROS_g03591.t1
PPN02197	GPAL|GPLIN_001433000	GROS|GROS_g03594.t1
PPN02194	GPAL|GPLIN_000246300	GROS|GROS_g03584.t1
PPN02195	GPAL|GPLIN_000080400	GROS|GROS_g03581.t1
PPN08472	GPAL|GPLIN_000468000	GROS|GROS_g04156.t1
PPN02378	GPAL|GPLIN_000347800	GROS|GROS_g00087.t1
PPN02379	GPAL|GPLIN_000348100	GROS|GROS_g00082.t1
PPN02377	GPAL|GPLIN_000347700	GROS|GROS_g00088.t1
PPN02375	GPAL|GPLIN_000054200	GROS|GROS_g03437.t1
PPN02373	GPAL|GPLIN_000480400	GROS|GROS_g08804.t1
PPN02371	GPAL|GPLIN_001316700	GROS|GROS_g09704.t1
PPN11795	GPAL|GPLIN_000408000	GROS|GROS_g12030.t1
PPN11797	GPAL|GPLIN_000408200	GROS|GROS_g11593.t1
PPN11791	GPAL|GPLIN_000402900	GROS|GROS_g10320.t1
PPN12409	GPAL|GPLIN_000916200	GROS|GROS_g02575.t1
PPN12408	GPAL|GPLIN_000914800	GROS|GROS_g05290.t1
PPN12159	GPAL|GPLIN_000711500	GROS|GROS_g04500.t1
PPN12158	GPAL|GPLIN_000709000	GROS|GROS_g00854.t1
PPN12157	GPAL|GPLIN_000707900	GROS|GROS_g06364.t1
PPN12156	GPAL|GPLIN_000707800	GROS|GROS_g06363.t1
PPN12155	GPAL|GPLIN_000706300	GROS|GROS_g04633.t1
PPN12154	GPAL|GPLIN_000706100	GROS|GROS_g07490.t1
PPN12153	GPAL|GPLIN_000705600	GROS|GROS_g05162.t1
PPN12152	GPAL|GPLIN_000704300	GROS|GROS_g12251.t1
PPN12151	GPAL|GPLIN_000704000	GROS|GROS_g06254.t1
PPN12150	GPAL|GPLIN_000702600	GROS|GROS_g06242.t1
PPN11793	GPAL|GPLIN_000407100	GROS|GROS_g10729.t1
PPN04020	GPAL|GPLIN_001142100	GROS|GROS_g04452.t1
PPN01502	GPAL|GPLIN_000700900	GROS|GROS_g06217.t1
PPN01504	GPAL|GPLIN_001163600	GROS|GROS_g02236.t1
PPN01505	GPAL|GPLIN_001163400	GROS|GROS_g02234.t1
PPN04758	GPAL|GPLIN_000013000	GROS|GROS_g02535.t1
PPN04759	GPAL|GPLIN_000946900	GROS|GROS_g02725.t1
PPN01577	GPAL|GPLIN_001015800	GROS|GROS_g13160.t1
PPN04053	GPAL|GPLIN_000258400	GROS|GROS_g05090.t1
PPN01572	GPAL|GPLIN_000966600	GROS|GROS_g08050.t1
PPN08620	GPAL|GPLIN_001067400	GROS|GROS_g02994.t1
PPN02978	GPAL|GPLIN_000215300	GROS|GROS_g07400.t1
PPN02971	GPAL|GPLIN_000995100	GROS|GROS_g00065.t1
PPN12411	GPAL|GPLIN_000919600	GROS|GROS_g04624.t1
PPN11690	GPAL|GPLIN_000333300	GROS|GROS_g04649.t1
PPN11467	GPAL|GPLIN_000138000	GROS|GROS_g05903.t1
PPN11464	GPAL|GPLIN_000133100	GROS|GROS_g03472.t1
PPN11463	GPAL|GPLIN_000132200	GROS|GROS_g04304.t1
PPN07047	GPAL|GPLIN_000934200	GROS|GROS_g10136.t1
PPN07045	GPAL|GPLIN_000899900	GROS|GROS_g01369.t1
PPN07043	GPAL|GPLIN_000894200	GROS|GROS_g12267.t1
PPN07042	GPAL|GPLIN_000890800	GROS|GROS_g12687.t1
PPN07041	GPAL|GPLIN_000873100	GROS|GROS_g09011.t1
PPN07040	GPAL|GPLIN_000868600	GROS|GROS_g05294.t1
PPN07049	GPAL|GPLIN_000953800	GROS|GROS_g02954.t1
PPN07048	GPAL|GPLIN_000953500	GROS|GROS_g02956.t1
PPN12283	GPAL|GPLIN_000816800	GROS|GROS_g02672.t1
PPN11920	GPAL|GPLIN_000520800	GROS|GROS_g03525.t1
PPN11069	GPAL|GPLIN_000278600	GROS|GROS_g00687.t1
PPN09197	GPAL|GPLIN_001509700	GROS|GROS_g08838.t1
PPN09196	GPAL|GPLIN_001502100	GROS|GROS_g12101.t1
PPN09195	GPAL|GPLIN_001493200	GROS|GROS_g00964.t1
PPN09194	GPAL|GPLIN_001467100	GROS|GROS_g12055.t1
PPN09193	GPAL|GPLIN_001456200	GROS|GROS_g01375.t1
PPN09192	GPAL|GPLIN_001434100	GROS|GROS_g12949.t1
PPN09191	GPAL|GPLIN_001425400	GROS|GROS_g03086.t1
PPN09190	GPAL|GPLIN_001420300	GROS|GROS_g05368.t1
PPN09199	GPAL|GPLIN_001549200	GROS|GROS_g04052.t1
PPN09198	GPAL|GPLIN_001541800	GROS|GROS_g02816.t1
PPN05509	GPAL|GPLIN_001143300	GROS|GROS_g07246.t1
PPN05504	GPAL|GPLIN_000481500	GROS|GROS_g06091.t1
PPN06318	GPAL|GPLIN_000590300	GROS|GROS_g11448.t1
PPN06319	GPAL|GPLIN_000911300	GROS|GROS_g11370.t1
PPN03760	GPAL|GPLIN_000506000	GROS|GROS_g01497.t1
PPN03761	GPAL|GPLIN_001489500	GROS|GROS_g05004.t1
PPN03764	GPAL|GPLIN_000675400	GROS|GROS_g01924.t1
PPN03832	GPAL|GPLIN_000978500	GROS|GROS_g02579.t1
PPN03833	GPAL|GPLIN_000951700	GROS|GROS_g00621.t1
PPN02419	GPAL|GPLIN_000764500	GROS|GROS_g01030.t1
PPN02418	GPAL|GPLIN_000017000	GROS|GROS_g05975.t1
PPN03836	GPAL|GPLIN_000458100	GROS|GROS_g05529.t1
PPN03837	GPAL|GPLIN_000458200	GROS|GROS_g05527.t1
PPN03834	GPAL|GPLIN_000983700	GROS|GROS_g04127.t1
PPN03835	GPAL|GPLIN_000538500	GROS|GROS_g03713.t1
PPN02413	GPAL|GPLIN_000716100	GROS|GROS_g00731.t1
PPN02412	GPAL|GPLIN_000646900	GROS|GROS_g01838.t1
PPN02411	GPAL|GPLIN_000060700	GROS|GROS_g02053.t1
PPN02410	GPAL|GPLIN_000042800	GROS|GROS_g02187.t1
PPN02417	GPAL|GPLIN_001320000	GROS|GROS_g03537.t1
PPN02416	GPAL|GPLIN_001352300	GROS|GROS_g03211.t1
PPN02415	GPAL|GPLIN_000422000	GROS|GROS_g03199.t1
PPN02414	GPAL|GPLIN_000775000	GROS|GROS_g07297.t1
PPN01698	GPAL|GPLIN_000211500	GROS|GROS_g01233.t1
PPN02352	GPAL|GPLIN_000958600	GROS|GROS_g06418.t1
PPN02601	GPAL|GPLIN_000434800	GROS|GROS_g00876.t1
PPN02606	GPAL|GPLIN_000364600	GROS|GROS_g03265.t1
PPN11865	GPAL|GPLIN_000478100	GROS|GROS_g06585.t1
PPN02355	GPAL|GPLIN_000347600	GROS|GROS_g05100.t1
PPN02356	GPAL|GPLIN_001188200	GROS|GROS_g04879.t1
PPN02357	GPAL|GPLIN_001156500	GROS|GROS_g10013.t1
PPN11975	GPAL|GPLIN_000559700	GROS|GROS_g06277.t1
PPN12719	GPAL|GPLIN_001194500	GROS|GROS_g04029.t1
PPN12660	GPAL|GPLIN_001147600	GROS|GROS_g12968.t1
PPN06244	GPAL|GPLIN_000900500	GROS|GROS_g13171.t1
PPN06245	GPAL|GPLIN_000960900	GROS|GROS_g01639.t1
PPN06243	GPAL|GPLIN_000784100	GROS|GROS_g01968.t1
PPN04459	GPAL|GPLIN_000059600	GROS|GROS_g03693.t1
PPN04458	GPAL|GPLIN_000683700	GROS|GROS_g09751.t1
PPN08316	GPAL|GPLIN_000542300	GROS|GROS_g10125.t1
PPN08317	GPAL|GPLIN_000727800	GROS|GROS_g08731.t1
PPN08310	GPAL|GPLIN_000790200	GROS|GROS_g04184.t1
PPN00128	GPAL|GPLIN_000810300	GROS|GROS_g06645.t1
